player1,numeric,tag_similarity,categorical,tag_numeric,tag_categorical,numeric_categorical,all,player2
Venus Williams,,,0.7627700713964739,,,,0.7627700713964739,Mackenzie McDonald
Rinky Hijikata,,,0.8432740427115678,,,,0.8432740427115678,Mackenzie McDonald
Greet Minnen,,,0.5976143046671968,,,,0.5976143046671968,Mackenzie McDonald
Arthur Rinderknech,,,0.8,,,,0.8,Mackenzie McDonald
Petra Martic,,,0.5720775535473553,,,,0.5720775535473553,Mackenzie McDonald
Ellen Perez,,,0.4767312946227962,,,,0.4767312946227962,Mackenzie McDonald
Anna Blinkova,,,0.6708203932499369,,,,0.6708203932499369,Mackenzie McDonald
Natalija Stevanovic,,,0.5163977794943222,,,,0.5163977794943222,Mackenzie McDonald
Bianca Andreescu,,,0.7348469228349535,,,,0.7348469228349535,Mackenzie McDonald
Yue Yuan,,,0.7826237921249264,,,,0.7826237921249264,Mackenzie McDonald
Ashlyn Krueger,,,0.9486832980505138,,,,0.9486832980505138,Mackenzie McDonald
Anouk Koevermans,,,0.7171371656006361,,,,0.7171371656006361,Mackenzie McDonald
Bibiane Schoofs,,,0.7171371656006361,,,,0.7171371656006361,Mackenzie McDonald
Lucrezia Stefanini,,,0.6324555320336759,,,,0.6324555320336759,Mackenzie McDonald
Ankita Raina,,,0.565685424949238,,,,0.565685424949238,Mackenzie McDonald
Pierre-Hugues Herbert,,,0.6,,,,0.6,Mackenzie McDonald
Maxime Cressy,,,0.5477225575051661,,,,0.5477225575051661,Mackenzie McDonald
Max Purcell,,,0.4216370213557839,,,,0.4216370213557839,Mackenzie McDonald
Lena Papadakis,,,0.5163977794943222,,,,0.5163977794943222,Mackenzie McDonald
Coco Vandeweghe,,,0.6324555320336759,,,,0.6324555320336759,Mackenzie McDonald
Anna-Lena Friedsam,,,0.6,,,,0.6,Mackenzie McDonald
Katie Volynets,,,0.9486832980505138,,,,0.9486832980505138,Mackenzie McDonald
Susan Bandecchi,,,0.5163977794943222,,,,0.5163977794943222,Mackenzie McDonald
Celine Naef,,,0.7378647873726218,,,,0.7378647873726218,Mackenzie McDonald
Tim van Rijthoven,,,0.2,,,,0.2,Mackenzie McDonald
David Goffin,,,0.6,,,,0.6,Mackenzie McDonald
Raluka Serban,,,0.7378647873726218,,,,0.7378647873726218,Mackenzie McDonald
Tallon Griekspoor,,,0.7,,,,0.7,Mackenzie McDonald
Zizou Bergs,,,0.7378647873726218,,,,0.7378647873726218,Mackenzie McDonald
Carol Zhao,,,0.9486832980505138,,,,0.9486832980505138,Mackenzie McDonald
Andrea Vavassori,,,0.5163977794943222,,,,0.5163977794943222,Mackenzie McDonald
Erin Routliffe,,,0.6,,,,0.6,Mackenzie McDonald
Brandon Nakashima,,,0.7302967433402214,,,,0.7302967433402214,Mackenzie McDonald
Eva Lys,,,0.7378647873726218,,,,0.7378647873726218,Mackenzie McDonald
Jasmijn Gimbrere ,,,0.4472135954999579,,,,0.4472135954999579,Mackenzie McDonald
Elina Svitolina,,,0.50709255283711,,,,0.50709255283711,Mackenzie McDonald
Adrian Mannarino,,,0.09534625892455924,,,,0.09534625892455924,Mackenzie McDonald
Alison Riske-Amritraj,,,0.45643546458763845,,,,0.45643546458763845,Mackenzie McDonald
Aliaksandra Sasnovich,,,0.6,,,,0.6,Mackenzie McDonald
Milos Raonic,,,0.6135719910778963,,,,0.6135719910778963,Mackenzie McDonald
Eva Vedder,,,0.7171371656006361,,,,0.7171371656006361,Mackenzie McDonald
Marie Bouzkova,,,0.4472135954999579,,,,0.4472135954999579,Mackenzie McDonald
Daniil Medvedev,,,0.5720775535473553,,,,0.5720775535473553,Mackenzie McDonald
Polina Kudermetova,,,0.8366600265340756,,,,0.8366600265340756,Mackenzie McDonald
Alex de Minaur,,,0.4472135954999579,,,,0.4472135954999579,Mackenzie McDonald
Ugo Humbert,,,0.4767312946227962,,,,0.4767312946227962,Mackenzie McDonald
Sabine Lisicki,,,0.6324555320336759,,,,0.6324555320336759,Mackenzie McDonald
Ekaterina Alexandrova,,,0.5976143046671968,,,,0.5976143046671968,Mackenzie McDonald
Alexei Popyrin,,,0.8432740427115678,,,,0.8432740427115678,Mackenzie McDonald
Jelle Sels,,,0.7171371656006361,,,,0.7171371656006361,Mackenzie McDonald
Laslo Djere,,,0.7378647873726218,,,,0.7378647873726218,Mackenzie McDonald
Shelby Rogers,,,0.7378647873726218,,,,0.7378647873726218,Mackenzie McDonald
Belinda Bencic,,,0.3651483716701107,,,,0.3651483716701107,Mackenzie McDonald
Miomir Kecmanovic,,,0.6674238124719146,,,,0.6674238124719146,Mackenzie McDonald
Noah Gabriel,,,0.565685424949238,,,,0.565685424949238,Mackenzie McDonald
Bernabe Zapata Miralles,,,0.5916079783099616,,,,0.5916079783099616,Mackenzie McDonald
Evgeniya Rodina,,,0.6708203932499369,,,,0.6708203932499369,Mackenzie McDonald
Varvara Gracheva,,,0.6708203932499369,,,,0.6708203932499369,Mackenzie McDonald
Felix Auger-Aliassime,,,0.760638829255665,,,,0.760638829255665,Mackenzie McDonald
Mai Hontama,,,0.7826237921249264,,,,0.7826237921249264,Mackenzie McDonald
Jason Kubler,,,0.8432740427115678,,,,0.8432740427115678,Mackenzie McDonald
Elise Mertens,,,0.5477225575051661,,,,0.5477225575051661,Mackenzie McDonald
Alec Deckers,,,0.6708203932499369,,,,0.6708203932499369,Mackenzie McDonald
Miyu Kato,,,0.7171371656006361,,,,0.7171371656006361,Mackenzie McDonald
Veronika Kudermetova,,,0.6674238124719146,,,,0.6674238124719146,Mackenzie McDonald
Marc-Andrea Huesler,,,0.5270462766947299,,,,0.5270462766947299,Mackenzie McDonald
Jessika Ponchet,,,0.7378647873726218,,,,0.7378647873726218,Mackenzie McDonald
Arthur Fils,,,0.5720775535473553,,,,0.5720775535473553,Mackenzie McDonald
Ana Konjuh,,,0.7378647873726218,,,,0.7378647873726218,Mackenzie McDonald
Jesper de Jong,,,0.7171371656006361,,,,0.7171371656006361,Mackenzie McDonald
Caty Mcnally,,,0.7302967433402214,,,,0.7302967433402214,Mackenzie McDonald
Alexander Bublik,,,0.5477225575051661,,,,0.5477225575051661,Mackenzie McDonald
Pavel Kotov,,,0.8944271909999159,,,,0.8944271909999159,Mackenzie McDonald
Lesley Pattinama Kerkhove,,,0.6708203932499369,,,,0.6708203932499369,Mackenzie McDonald
Ilya Ivashka,,,0.8944271909999159,,,,0.8944271909999159,Mackenzie McDonald
Dayne Kelly,,,0.7171371656006361,,,,0.7171371656006361,Mackenzie McDonald
Ricardas Berankis,,,0.7378647873726218,,,,0.7378647873726218,Mackenzie McDonald
Roberto Bautista Agut,,,0.45643546458763845,,,,0.45643546458763845,Mackenzie McDonald
Sachia Vickery,,,0.7893522173763263,,,,0.7893522173763263,Mackenzie McDonald
Botic van de Zandschulp,,,0.6674238124719146,,,,0.6674238124719146,Mackenzie McDonald
Jesika Maleckova,,,0.6324555320336759,,,,0.6324555320336759,Mackenzie McDonald
Marin Cilic,,,0.3651483716701107,,,,0.3651483716701107,Mackenzie McDonald
Taylah Preston,,,0.4472135954999579,,,,0.4472135954999579,Mackenzie McDonald
